"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "JavaScript", "XML", "HTML", "PostCSS", "Log", "Markdown", "Shell Script", "MS SQL", "comment", "blank", "total"
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/users/route.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 68
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/auth/layout.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/auth/login/page.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 103
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/careers/[slug]/apply/page.tsx", "TypeScript JSX", 0, 431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 35, 483
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/careers/[slug]/apply/success/page.tsx", "TypeScript JSX", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 137
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/careers/[slug]/page.tsx", "TypeScript JSX", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 22, 240
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/careers/page.tsx", "TypeScript JSX", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 194
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/case-studies/foredyke-school/page.tsx", "TypeScript JSX", 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 233
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/contact/page.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 13, 136
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/faq/page.tsx", "TypeScript JSX", 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 246
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 10, 17, 107
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/layout.tsx", "TypeScript JSX", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 276
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/lead-magnets/heating-checklist/page.tsx", "TypeScript JSX", 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21, 222
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/login/page.tsx", "TypeScript JSX", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 106
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/news/[id]/page.tsx", "TypeScript JSX", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 163
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/news/page.tsx", "TypeScript JSX", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 155
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/not-found.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/page.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 48
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/privacy/page.tsx", "TypeScript JSX", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 108
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/projects/[id]/page.tsx", "TypeScript JSX", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 164
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/projects/page.tsx", "TypeScript JSX", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 159
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/services/[slug]/page.tsx", "TypeScript JSX", 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 296
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/services/hull/page.tsx", "TypeScript JSX", 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 283
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/services/page.tsx", "TypeScript JSX", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 152
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/terms/page.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 114
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/testimonials/page.tsx", "TypeScript JSX", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 161
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/about/AboutPageContent.tsx", "TypeScript JSX", 0, 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 335
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/AnalyticsDashboard.tsx", "TypeScript JSX", 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 258
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/ContactSubmissionModal.tsx", "TypeScript JSX", 0, 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 305
